num	lesson	student	skill	cell	right	eol
1	Atividade_Avaliativa_6	Aluno_2	Relacionamentos	cell	1	eol
2	Atividade_Avaliativa_6	Aluno_2	Relacionamentos	cell	1	eol
3	Atividade_Avaliativa_6	Aluno_2	Relacionamentos	cell	1	eol
4	Atividade_Avaliativa_6	Aluno_4	Relacionamentos	cell	1	eol
5	Atividade_Avaliativa_6	Aluno_4	Relacionamentos	cell	0	eol
6	Atividade_Avaliativa_6	Aluno_4	Relacionamentos	cell	1	eol
7	Atividade_Avaliativa_6	Aluno_6	Relacionamentos	cell	1	eol
8	Atividade_Avaliativa_6	Aluno_6	Relacionamentos	cell	1	eol
9	Atividade_Avaliativa_6	Aluno_6	Relacionamentos	cell	0	eol
10	Atividade_Avaliativa_6	Aluno_9	Relacionamentos	cell	1	eol
11	Atividade_Avaliativa_6	Aluno_9	Relacionamentos	cell	1	eol
12	Atividade_Avaliativa_6	Aluno_9	Relacionamentos	cell	0	eol
13	Atividade_Avaliativa_6	Aluno_12	Relacionamentos	cell	1	eol
14	Atividade_Avaliativa_6	Aluno_12	Relacionamentos	cell	1	eol
15	Atividade_Avaliativa_6	Aluno_12	Relacionamentos	cell	1	eol
16	Atividade_Avaliativa_6	Aluno_13	Relacionamentos	cell	1	eol
17	Atividade_Avaliativa_6	Aluno_13	Relacionamentos	cell	1	eol
18	Atividade_Avaliativa_6	Aluno_13	Relacionamentos	cell	1	eol
19	Atividade_Avaliativa_6	Aluno_21	Relacionamentos	cell	1	eol
20	Atividade_Avaliativa_6	Aluno_21	Relacionamentos	cell	1	eol
21	Atividade_Avaliativa_6	Aluno_21	Relacionamentos	cell	1	eol
22	Atividade_Avaliativa_6	Aluno_22	Relacionamentos	cell	1	eol
23	Atividade_Avaliativa_6	Aluno_22	Relacionamentos	cell	1	eol
24	Atividade_Avaliativa_6	Aluno_22	Relacionamentos	cell	1	eol
25	Atividade_Avaliativa_6	Aluno_24	Relacionamentos	cell	1	eol
26	Atividade_Avaliativa_6	Aluno_24	Relacionamentos	cell	1	eol
27	Atividade_Avaliativa_6	Aluno_24	Relacionamentos	cell	1	eol
28	Atividade_Avaliativa_6	Aluno_26	Relacionamentos	cell	1	eol
29	Atividade_Avaliativa_6	Aluno_26	Relacionamentos	cell	1	eol
30	Atividade_Avaliativa_6	Aluno_26	Relacionamentos	cell	0	eol
31	Atividade_Avaliativa_6	Aluno_30	Relacionamentos	cell	0	eol
32	Atividade_Avaliativa_6	Aluno_30	Relacionamentos	cell	1	eol
33	Atividade_Avaliativa_6	Aluno_30	Relacionamentos	cell	0	eol
34	Atividade_Avaliativa_6	Aluno_33	Relacionamentos	cell	1	eol
35	Atividade_Avaliativa_6	Aluno_33	Relacionamentos	cell	1	eol
36	Atividade_Avaliativa_6	Aluno_33	Relacionamentos	cell	0	eol
37	Atividade_Avaliativa_6	Aluno_41	Relacionamentos	cell	1	eol
38	Atividade_Avaliativa_6	Aluno_41	Relacionamentos	cell	1	eol
39	Atividade_Avaliativa_6	Aluno_41	Relacionamentos	cell	0	eol
40	Atividade_Avaliativa_6	Aluno_42	Relacionamentos	cell	1	eol
41	Atividade_Avaliativa_6	Aluno_42	Relacionamentos	cell	1	eol
42	Atividade_Avaliativa_6	Aluno_42	Relacionamentos	cell	1	eol
43	Atividade_Avaliativa_6	Aluno_46	Relacionamentos	cell	0	eol
44	Atividade_Avaliativa_6	Aluno_46	Relacionamentos	cell	1	eol
45	Atividade_Avaliativa_6	Aluno_46	Relacionamentos	cell	0	eol
46	Atividade_Avaliativa_6	Aluno_47	Relacionamentos	cell	1	eol
47	Atividade_Avaliativa_6	Aluno_47	Relacionamentos	cell	1	eol
48	Atividade_Avaliativa_6	Aluno_47	Relacionamentos	cell	0	eol
49	Atividade_Avaliativa_6	Aluno_48	Relacionamentos	cell	1	eol
50	Atividade_Avaliativa_6	Aluno_48	Relacionamentos	cell	1	eol
51	Atividade_Avaliativa_6	Aluno_48	Relacionamentos	cell	0	eol
