num	lesson	student	skill	cell	right	eol
1	Atividade_Avaliativa_5	Aluno_2	Encapsulamento	cell	1	eol
2	Atividade_Avaliativa_5	Aluno_2	Encapsulamento	cell	1	eol
3	Atividade_Avaliativa_5	Aluno_2	Encapsulamento	cell	0	eol
4	Atividade_Avaliativa_5	Aluno_2	Encapsulamento	cell	0	eol
5	Atividade_Avaliativa_5	Aluno_4	Encapsulamento	cell	1	eol
6	Atividade_Avaliativa_5	Aluno_4	Encapsulamento	cell	1	eol
7	Atividade_Avaliativa_5	Aluno_4	Encapsulamento	cell	1	eol
8	Atividade_Avaliativa_5	Aluno_4	Encapsulamento	cell	1	eol
9	Atividade_Avaliativa_5	Aluno_6	Encapsulamento	cell	1	eol
10	Atividade_Avaliativa_5	Aluno_6	Encapsulamento	cell	1	eol
11	Atividade_Avaliativa_5	Aluno_6	Encapsulamento	cell	1	eol
12	Atividade_Avaliativa_5	Aluno_6	Encapsulamento	cell	1	eol
13	Atividade_Avaliativa_5	Aluno_9	Encapsulamento	cell	1	eol
14	Atividade_Avaliativa_5	Aluno_9	Encapsulamento	cell	1	eol
15	Atividade_Avaliativa_5	Aluno_9	Encapsulamento	cell	0	eol
16	Atividade_Avaliativa_5	Aluno_9	Encapsulamento	cell	1	eol
17	Atividade_Avaliativa_5	Aluno_12	Encapsulamento	cell	0	eol
18	Atividade_Avaliativa_5	Aluno_12	Encapsulamento	cell	1	eol
19	Atividade_Avaliativa_5	Aluno_12	Encapsulamento	cell	1	eol
20	Atividade_Avaliativa_5	Aluno_12	Encapsulamento	cell	1	eol
21	Atividade_Avaliativa_5	Aluno_13	Encapsulamento	cell	1	eol
22	Atividade_Avaliativa_5	Aluno_13	Encapsulamento	cell	1	eol
23	Atividade_Avaliativa_5	Aluno_13	Encapsulamento	cell	1	eol
24	Atividade_Avaliativa_5	Aluno_13	Encapsulamento	cell	1	eol
25	Atividade_Avaliativa_5	Aluno_21	Encapsulamento	cell	1	eol
26	Atividade_Avaliativa_5	Aluno_21	Encapsulamento	cell	1	eol
27	Atividade_Avaliativa_5	Aluno_21	Encapsulamento	cell	1	eol
28	Atividade_Avaliativa_5	Aluno_21	Encapsulamento	cell	1	eol
29	Atividade_Avaliativa_5	Aluno_22	Encapsulamento	cell	1	eol
30	Atividade_Avaliativa_5	Aluno_22	Encapsulamento	cell	1	eol
31	Atividade_Avaliativa_5	Aluno_22	Encapsulamento	cell	1	eol
32	Atividade_Avaliativa_5	Aluno_22	Encapsulamento	cell	1	eol
33	Atividade_Avaliativa_5	Aluno_24	Encapsulamento	cell	1	eol
34	Atividade_Avaliativa_5	Aluno_24	Encapsulamento	cell	1	eol
35	Atividade_Avaliativa_5	Aluno_24	Encapsulamento	cell	1	eol
36	Atividade_Avaliativa_5	Aluno_24	Encapsulamento	cell	1	eol
37	Atividade_Avaliativa_5	Aluno_26	Encapsulamento	cell	1	eol
38	Atividade_Avaliativa_5	Aluno_26	Encapsulamento	cell	1	eol
39	Atividade_Avaliativa_5	Aluno_26	Encapsulamento	cell	0	eol
40	Atividade_Avaliativa_5	Aluno_26	Encapsulamento	cell	1	eol
41	Atividade_Avaliativa_5	Aluno_30	Encapsulamento	cell	0	eol
42	Atividade_Avaliativa_5	Aluno_30	Encapsulamento	cell	1	eol
43	Atividade_Avaliativa_5	Aluno_30	Encapsulamento	cell	1	eol
44	Atividade_Avaliativa_5	Aluno_30	Encapsulamento	cell	0	eol
45	Atividade_Avaliativa_5	Aluno_33	Encapsulamento	cell	1	eol
46	Atividade_Avaliativa_5	Aluno_33	Encapsulamento	cell	0	eol
47	Atividade_Avaliativa_5	Aluno_33	Encapsulamento	cell	1	eol
48	Atividade_Avaliativa_5	Aluno_33	Encapsulamento	cell	1	eol
49	Atividade_Avaliativa_5	Aluno_41	Encapsulamento	cell	1	eol
50	Atividade_Avaliativa_5	Aluno_41	Encapsulamento	cell	0	eol
51	Atividade_Avaliativa_5	Aluno_41	Encapsulamento	cell	1	eol
52	Atividade_Avaliativa_5	Aluno_41	Encapsulamento	cell	1	eol
53	Atividade_Avaliativa_5	Aluno_42	Encapsulamento	cell	1	eol
54	Atividade_Avaliativa_5	Aluno_42	Encapsulamento	cell	1	eol
55	Atividade_Avaliativa_5	Aluno_42	Encapsulamento	cell	1	eol
56	Atividade_Avaliativa_5	Aluno_42	Encapsulamento	cell	1	eol
57	Atividade_Avaliativa_5	Aluno_46	Encapsulamento	cell	0	eol
58	Atividade_Avaliativa_5	Aluno_46	Encapsulamento	cell	0	eol
59	Atividade_Avaliativa_5	Aluno_46	Encapsulamento	cell	1	eol
60	Atividade_Avaliativa_5	Aluno_46	Encapsulamento	cell	0	eol
61	Atividade_Avaliativa_5	Aluno_47	Encapsulamento	cell	1	eol
62	Atividade_Avaliativa_5	Aluno_47	Encapsulamento	cell	1	eol
63	Atividade_Avaliativa_5	Aluno_47	Encapsulamento	cell	1	eol
64	Atividade_Avaliativa_5	Aluno_47	Encapsulamento	cell	0	eol
65	Atividade_Avaliativa_5	Aluno_48	Encapsulamento	cell	1	eol
66	Atividade_Avaliativa_5	Aluno_48	Encapsulamento	cell	1	eol
67	Atividade_Avaliativa_5	Aluno_48	Encapsulamento	cell	1	eol
68	Atividade_Avaliativa_5	Aluno_48	Encapsulamento	cell	1	eol
